name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Allan Hills 84107,709,Valid,LL6,134.1,Found,01/01/1984,-77.04441,157.14714,(-77.04441; 157.14714)
Allan Hills 84108,710,Valid,H6,214.8,Found,01/01/1984,-76.90198,156.76583,(-76.90198; 156.76583)
Allan Hills 84109,711,Valid,H6,245.9,Found,01/01/1984,-76.75371,158.76659,(-76.75371; 158.76659)
Allan Hills 84110,712,Valid,H6,318.5,Found,01/01/1984,-76.75568,158.76154,(-76.75568; 158.76154)
Allan Hills 84111,713,Valid,H5,131.5,Found,01/01/1984,-76.74202,159.28689,(-76.74202; 159.28689)
Allan Hills 84112,714,Valid,L6,145.8,Found,01/01/1984,-76.90657,156.81312,(-76.90657; 156.81312)
Allan Hills 84113,715,Valid,H6,212.1,Found,01/01/1984,-76.74688,158.8072,(-76.74688; 158.8072)
Allan Hills 84114,716,Valid,H6,119.9,Found,01/01/1984,-76.9768,156.91717,(-76.9768; 156.91717)
Allan Hills 84115,717,Valid,H6,194.5,Found,01/01/1984,-77.04366,157.09028,(-77.04366; 157.09028)
Allan Hills 84116,718,Valid,LL6,56.2,Found,01/01/1984,-76.82442,158.38274,(-76.82442; 158.38274)
Allan Hills 84117,719,Valid,H5,71.8,Found,01/01/1984,-76.9095,156.69457,(-76.9095; 156.69457)
Allan Hills 84118,720,Valid,H6,113.7,Found,01/01/1984,-76.72107,159.35988,(-76.72107; 159.35988)
Allan Hills 84119,721,Valid,LL6,33.8,Found,01/01/1984,-76.90169,156.78514,(-76.90169; 156.78514)
Allan Hills 84120,722,Valid,L3.8,129,Found,01/01/1984,-76.90505,156.94032,(-76.90505; 156.94032)
Allan Hills 84121,723,Valid,H5,141.4,Found,01/01/1984,-76.72513,158.7146,(-76.72513; 158.7146)
Allan Hills 84122,724,Valid,LL6,81.4,Found,01/01/1984,-76.67555,159.30823,(-76.67555; 159.30823)
Allan Hills 84123,725,Valid,LL6,96.6,Found,01/01/1984,-76.74281,158.83348,(-76.74281; 158.83348)
Allan Hills 84124,726,Valid,H5,114.5,Found,01/01/1984,-76.72475,158.7157,(-76.72475; 158.7157)
Allan Hills 84125,727,Valid,LL6,76.4,Found,01/01/1984,-76.73658,158.8256,(-76.73658; 158.8256)
Allan Hills 84126,728,Valid,LL3.4,41.2,Found,01/01/1984,-76.89442,156.85552,(-76.89442; 156.85552)
Allan Hills 84127,729,Valid,L6,83.8,Found,01/01/1984,-76.70706,158.73423,(-76.70706; 158.73423)
Allan Hills 84128,730,Valid,H5,2.1,Found,01/01/1984,-76.71094,158.74709,(-76.71094; 158.74709)
Allan Hills 84129,731,Valid,L6,37.6,Found,01/01/1984,-76.91616,156.82442,(-76.91616; 156.82442)
Allan Hills 84130,732,Valid,L6,45.1,Found,01/01/1984,-76.71597,159.36685,(-76.71597; 159.36685)
Allan Hills 84131,733,Valid,H5,107.9,Found,01/01/1984,-76.72553,158.71352,(-76.72553; 158.71352)
Allan Hills 84132,734,Valid,L6,157.8,Found,01/01/1984,-77.01706,156.96282,(-77.01706; 156.96282)
Allan Hills 84133,735,Valid,H5,70.5,Found,01/01/1984,-76.90232,156.83867,(-76.90232; 156.83867)
Allan Hills 84134,736,Valid,L6,113.4,Found,01/01/1984,-76.90037,156.77608,(-76.90037; 156.77608)
Allan Hills 84135,737,Valid,H5,31.3,Found,01/01/1984,-76.97272,156.90759,(-76.97272; 156.90759)
Allan Hills 84136,738,Valid,Ureilite,83.5,Found,01/01/1984,-77.03962,157.14771,(-77.03962; 157.14771)
Allan Hills 84137,739,Valid,H5,145.4,Found,01/01/1984,-76.72618,158.71187,(-76.72618; 158.71187)
Allan Hills 84138,740,Valid,H5,20.2,Found,01/01/1984,-76.71035,158.78026,(-76.71035; 158.78026)
Allan Hills 84139,741,Valid,H5,157.1,Found,01/01/1984,-76.7528,158.76289,(-76.7528; 158.76289)
Allan Hills 84140,742,Valid,L6,164,Found,01/01/1984,-77.0238,156.99656,(-77.0238; 156.99656)
Allan Hills 84141,743,Valid,L6,130.3,Found,01/01/1984,-76.90681,156.84795,(-76.90681; 156.84795)
Cacilandia,5191,Valid,H6,,Found,,,,
Allan Hills 84142,744,Valid,L6,78.5,Found,01/01/1984,-77.01141,156.94615,(-77.01141; 156.94615)
Allan Hills 84143,745,Valid,L6,74.3,Found,01/01/1984,-76.75194,158.80602,(-76.75194; 158.80602)
Allan Hills 84144,746,Valid,H5,53.9,Found,01/01/1984,-76.96327,156.92228,(-76.96327; 156.92228)
Allan Hills 84145,747,Valid,H5,19.2,Found,01/01/1984,-76.95195,156.91759,(-76.95195; 156.91759)
Allan Hills 84146,748,Valid,H5,33.2,Found,01/01/1984,-76.70911,158.73826,(-76.70911; 158.73826)
Allan Hills 84147,749,Valid,H6,54.2,Found,01/01/1984,-76.91719,156.88659,(-76.91719; 156.88659)
Allan Hills 84148,750,Valid,H5,168.4,Found,01/01/1984,-76.72522,158.71588,(-76.72522; 158.71588)
Allan Hills 84149,751,Valid,H5,12,Found,01/01/1984,-76.71033,158.78075,(-76.71033; 158.78075)
Allan Hills 84150,752,Valid,H6,20,Found,01/01/1984,-77.02435,156.97828,(-77.02435; 156.97828)
Allan Hills 84151,753,Valid,H6,112.4,Found,01/01/1984,-76.75323,158.76609,(-76.75323; 158.76609)
Allan Hills 84152,754,Valid,H5,6.4,Found,01/01/1984,-76.98859,156.96088,(-76.98859; 156.96088)
Allan Hills 84153,755,Valid,H6,242.9,Found,01/01/1984,-76.97272,156.90759,(-76.97272; 156.90759)
Allan Hills 84154,756,Valid,LL6,87.6,Found,01/01/1984,-76.90682,156.71998,(-76.90682; 156.71998)
Allan Hills 84155,757,Valid,H5,113.9,Found,01/01/1984,-76.90557,156.85267,(-76.90557; 156.85267)
Allan Hills 84156,758,Valid,H5,27.8,Found,01/01/1984,-76.68787,159.35846,(-76.68787; 159.35846)
Allan Hills 84157,759,Valid,H5,88.6,Found,01/01/1984,-76.87213,156.98764,(-76.87213; 156.98764)
Allan Hills 84158,760,Valid,H5,53.7,Found,01/01/1984,-76.89695,156.9656,(-76.89695; 156.9656)
Allan Hills 84159,761,Valid,H6,100.8,Found,01/01/1984,-76.72351,158.70345,(-76.72351; 158.70345)
Allan Hills 84160,762,Valid,L6,53.9,Found,01/01/1984,-76.92288,156.81638,(-76.92288; 156.81638)
Allan Hills 84161,763,Valid,H5,82.9,Found,01/01/1984,-76.71086,158.72872,(-76.71086; 158.72872)
Allan Hills 84162,764,Valid,H5,42.3,Found,01/01/1984,-76.71427,158.77844,(-76.71427; 158.77844)
Allan Hills 84163,765,Valid,H5,134.9,Found,01/01/1984,-76.89216,157.07175,(-76.89216; 157.07175)
Allan Hills 84164,766,Valid,L6,101.4,Found,01/01/1984,-76.82065,158.25808,(-76.82065; 158.25808)
Allan Hills 84165,767,Valid,Iron; IIIAB,94.7,Found,01/01/1984,-76.72679,159.15597,(-76.72679; 159.15597)
Allan Hills 84166,768,Valid,L6,39,Found,01/01/1984,-76.70446,159.38647,(-76.70446; 159.38647)
Allan Hills 84167,769,Valid,H5,150.7,Found,01/01/1984,-76.69004,159.35472,(-76.69004; 159.35472)
Allan Hills 84168,770,Valid,LL6,14.2,Found,01/01/1984,-76.71881,158.65853,(-76.71881; 158.65853)
Allan Hills 84169,771,Valid,L6,98.4,Found,01/01/1984,-76.7478,158.84629,(-76.7478; 158.84629)
Allan Hills 84170,772,Valid,EH3,39.2,Found,01/01/1984,-76.75606,158.78074,(-76.75606; 158.78074)
Allan Hills 84171,773,Valid,H6,36.6,Found,01/01/1984,-76.98612,156.87504,(-76.98612; 156.87504)
Allan Hills 84172,774,Valid,H5,3,Found,01/01/1984,-76.75732,158.9042,(-76.75732; 158.9042)
